"23","37","5"
"4","14","17"
"25","29","8"
"38","24","15"
"3","0","11"
"75","68","4"
"39","75","15"
"1","21","18.5"
"15","2","52"
"28","27","34"
"15","75","36"
"38","37","5"
"3","15","52"
"36","5","5"
"2","0","8"
"12","30","25"
"38","1","9.5"
"38","62","20.5"
"15","12","52"
"35","35","35"
"12","2","4"
"2","10","13"
"6","2","17.5"
"10","6","11"
"55","1","11.5"
"12","0","8.5"
"1","16","5.5"
"22","6","6.5"
"10","10","4"
"7","91","23.5"
"6","6","4"
"2","0","7.5"
"5","6","10"
"14","33","8.5"
"6","2","13.5"
"0","0","5"
"6","4","9"
"12","12","6"
"6","6","4"
"10","12","4"
"7","12","34.5"
"6","6","3.5"
"32","6","6.5"
"37","7","26"
"10","10","6"
"16","1","3.5"
"6","0","7.5"
"14","2","16.5"
"15","92","37"
"0","0","7"
"55","56","28.5"
"10","10","3.5"
"6","6","5"
"6","6","7"
"50","14","26"
"12","1","8"
"15","89","53.5"
"6","10","10.5"
"33","1","10.5"
"15","12","52"
"5","2","9.5"
"14","37","6.5"
"10","6","7"
"3","16","5"
"10","15","52"
"12","0","6"
"0","4","6"
"0","6","8.5"
"6","10","9.5"
"38","5","11"
"0","6","5.5"
"38","38","9"
"3","50","20"
"10","21","18.5"
"23","24","11"
"38","14","8.5"
"24","29","24.5"
"12","39","13"
"21","87","17"
"1","39","8"
"0","23","23.5"
"23","10","15.5"
"36","0","7.5"
"1","10","13"
"16","28","6"
"8","6","9.5"
"37","0","11.5"
"28","87","28.5"
"12","62","25.5"
"25","29","9"
"0","8","6"
"10","10","5"
"0","16","11.5"
"6","6","6.5"
"12","7","29.5"
"75","63","8.5"
"12","10","5"
"10","10","8.5"
"32","10","8.5"
"0","4","7"
"6","4","5.5"
"6","6","3.5"
"22","6","8"
"10","32","10.5"
"10","0","10.5"
"35","35","12.5"
"38","10","16.5"
"32","32","7.5"
"0","6","12"
"3","0","10.5"
"12","33","13"
"8","4","8.5"
"12","12","6"
"8","6","11.5"
"3","1","5"
"55","28","17.5"
"35","35","52"
"0","7","27"
"0","4","5.5"
"6","6","6.5"
"10","12","8.5"
"10","19","5.5"
"12","2","9.5"
"6","7","27"
"32","10","5.5"
"19","11","5.5"
"24","52","25"
"0","6","5.5"
"5","0","5.5"
"10","10","6.5"
"6","6","6.5"
"1","16","4.5"
"10","10","4.5"
"0","38","9.5"
"6","6","4"
"10","10","4.5"
"10","0","7.5"
"4","12","6"
"6","1","12"
"19","10","8"
"0","28","6"
"2","0","5.5"
"36","9","5.5"
"1","24","15"
"4","32","7"
"1","14","9"
"38","2","8"
"2","9","7.5"
"2","6","16"
"38","87","23"
"13","2","9.5"
"37","0","8"
"1","88","29.5"
"37","38","8"
"5","11","16"
"6","24","19"
"35","35","2.5"
"38","8","5"
"2","2","7"
"37","29","18.5"
"0","7","32"
"12","14","16"
"5","7","33"
"2","2","6"
