"(13, 56)",['9'],"(1.0, 0.0)"
"(14, 2)","['14', '16.5']","(1.0, 0.0)"
"(14, 4)",['16.5'],"(1.0, 0.0)"
"(14, 6)",['23'],"(1.0, 0.0)"
"(14, 15)",['52'],"(1.0, 0.0)"
"(14, 16)",['12'],"(1.0, 0.0)"
"(14, 27)",['31'],"(1.0, 0.0)"
"(14, 33)",['8.5'],"(1.0, 0.0)"
"(14, 34)",['13'],"(1.0, 0.0)"
"(14, 37)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(14, 39)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(15, 2)","['52', '52']","(1.0, 0.0)"
"(15, 5)",['52'],"(1.0, 0.0)"
"(15, 10)",['52'],"(1.0, 0.0)"
"(15, 12)","['52', '52']","(1.0, 0.0)"
"(15, 24)",['50.5'],"(1.0, 0.0)"
"(15, 29)",['44.5'],"(1.0, 0.0)"
"(15, 67)",['34.5'],"(1.0, 0.0)"
"(15, 75)",['36'],"(1.0, 0.0)"
"(15, 85)",['19'],"(1.0, 0.0)"
"(15, 89)",['53.5'],"(1.0, 0.0)"
"(15, 92)",['37'],"(1.0, 0.0)"
"(16, 0)",['12'],"(1.0, 0.0)"
"(16, 1)","['4', '3.5']","(0.99976737092096446, 1.0823257690084631e-07)"
"(16, 10)",['16'],"(1.0, 0.0)"
"(16, 12)","['12', '11.5']","(1.0, 0.0)"
"(16, 14)",['8.5'],"(1.0, 0.0)"
"(16, 21)",['19.5'],"(1.0, 0.0)"
"(16, 23)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(16, 25)",['22.5'],"(1.0, 0.0)"
"(16, 28)",['6'],"(0.9999999990134123, 1.9731754008489588e-09)"
"(16, 38)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(16, 55)",['10'],"(1.0, 0.0)"
"(16, 58)",['12.5'],"(1.0, 0.0)"
"(16, 60)",['25'],"(1.0, 0.0)"
"(16, 61)",['15'],"(1.0, 0.0)"
"(16, 63)",['22.5'],"(1.0, 0.0)"
"(16, 69)",['24'],"(1.0, 0.0)"
"(17, 18)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(17, 41)",['41'],"(1.0, 0.0)"
"(17, 48)",['22'],"(1.0, 0.0)"
"(19, 10)","['11', '8']","(0.99999999999999933, 0.0)"
"(19, 11)","['6', '7.5', '5.5', '6']","(0.99999998101043752, 0.0)"
"(20, 21)",['20'],"(1.0, 0.0)"
"(21, 2)",['5.5'],"(0.99999998101043752, 3.7979124956066812e-08)"
"(21, 87)",['17'],"(1.0, 0.0)"
"(22, 0)",['9.5'],"(1.0, 0.0)"
"(22, 4)",['12'],"(1.0, 0.0)"
"(22, 6)","['6.5', '5', '13', '6.5', '8']","(0.99999971334842808, 0.0)"
"(22, 10)","['11.5', '4.5', '10']","(0.99999660232687526, 0.0)"
"(22, 22)",['2.5'],"(0.99379033467422384, 0.012419330651552318)"
"(22, 62)",['22'],"(1.0, 0.0)"
"(23, 0)",['11'],"(1.0, 0.0)"
"(23, 6)",['16'],"(1.0, 0.0)"
"(23, 10)",['15.5'],"(1.0, 0.0)"
"(23, 23)",['4'],"(0.99996832875816688, 6.3342483666239957e-05)"
"(23, 24)",['11'],"(1.0, 0.0)"
"(23, 37)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(23, 40)",['10.5'],"(1.0, 0.0)"
"(23, 56)",['12'],"(1.0, 0.0)"
"(24, 6)",['17'],"(1.0, 0.0)"
"(24, 14)",['16.5'],"(1.0, 0.0)"
"(24, 24)","['9', '19.5']","(1.0, 0.0)"
"(24, 25)",['21'],"(1.0, 0.0)"
"(24, 26)","['5.5', '5', '6.5']","(0.99999971334842808, 0.0)"
"(24, 29)",['24.5'],"(1.0, 0.0)"
"(24, 45)",['35.5'],"(1.0, 0.0)"
"(24, 47)",['32'],"(1.0, 0.0)"
"(24, 50)","['15.5', '6']","(0.9999999990134123, 0.0)"
"(24, 52)",['25'],"(1.0, 0.0)"
"(24, 66)",['21.5'],"(1.0, 0.0)"
"(24, 81)",['37'],"(1.0, 0.0)"
"(25, 5)",['13.5'],"(1.0, 0.0)"
"(25, 6)",['13.5'],"(1.0, 0.0)"
"(25, 10)",['18.5'],"(1.0, 0.0)"
"(25, 29)","['3.5', '8', '9']","(0.99976737092096446, 2.517808184165915e-11)"
"(25, 62)",['9'],"(1.0, 0.0)"
"(25, 66)",['4.5'],"(0.99999660232687526, 6.7953462494774186e-06)"
"(28, 0)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(28, 2)",['3.5'],"(0.99976737092096446, 0.00046525815807108017)"
"(28, 8)",['3'],"(0.9986501019683699, 0.0026997960632602069)"
"(28, 13)",['7.5'],"(0.99999999999996814, 6.3726801613483985e-14)"
"(28, 14)",['17'],"(1.0, 0.0)"
"(28, 16)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(28, 27)",['34'],"(1.0, 0.0)"
"(28, 74)",['32.5'],"(1.0, 0.0)"
"(28, 76)",['30.5'],"(1.0, 0.0)"
"(28, 87)",['28.5'],"(1.0, 0.0)"
"(29, 0)","['15.5', '11.5']","(1.0, 0.0)"
"(29, 2)",['25'],"(1.0, 0.0)"
"(29, 29)",['9'],"(1.0, 0.0)"
"(29, 62)",['9'],"(1.0, 0.0)"
"(30, 4)","['52', '13.5']","(1.0, 0.0)"
"(32, 6)","['6.5', '6.5', '6.5']","(0.99999999995984001, 0.0)"
"(32, 10)","['8.5', '6.5', '8.5', '5.5']","(0.99999998101043752, 0.0)"
"(32, 22)",['10.5'],"(1.0, 0.0)"
"(32, 32)","['3.5', '7.5']","(0.99976737092096446, 1.0823257690084631e-07)"
"(33, 0)",['14'],"(1.0, 0.0)"
"(33, 1)",['10.5'],"(1.0, 0.0)"
"(33, 10)",['23'],"(1.0, 0.0)"
"(33, 24)",['11.5'],"(1.0, 0.0)"
"(33, 38)",['10'],"(1.0, 0.0)"
"(34, 14)",['15'],"(1.0, 0.0)"
"(34, 43)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(34, 54)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(35, 35)","['32.5', '5.5', '6.5', '5.5', '6.5', '8', '10.5', '4', '5', '27', '17.5', '45', '5.5', '74.5', '35', '12.5', '52', '2.5', '19']","(0.99379033467422384, 0.0)"
"(36, 0)",['7.5'],"(0.99999999999996814, 6.3726801613483985e-14)"
"(36, 3)",['11'],"(1.0, 0.0)"
"(36, 5)","['5', '7.5']","(0.99999971334842808, 1.6431300764452317e-13)"
"(36, 6)",['10'],"(1.0, 0.0)"
"(36, 9)",['5.5'],"(0.99999998101043752, 3.7979124956066812e-08)"
"(36, 24)",['14'],"(1.0, 0.0)"
"(36, 70)",['55'],"(1.0, 0.0)"
"(37, 0)","['13', '9.5', '11', '11.5', '8']","(0.99999999999999933, 0.0)"
"(37, 2)","['11.5', '9']","(1.0, 0.0)"
"(37, 5)",['8.5'],"(1.0, 0.0)"
"(37, 6)",['7.5'],"(0.99999999999996814, 6.3726801613483985e-14)"
"(37, 7)",['26'],"(1.0, 0.0)"
"(37, 8)","['7', '7.5', '7.5']","(0.99999999999872013, 0.0)"
"(37, 9)",['6.5'],"(0.99999999995984001, 8.031997289492665e-11)"
"(37, 10)",['18.5'],"(1.0, 0.0)"
"(37, 12)",['12.5'],"(1.0, 0.0)"
"(37, 14)","['10', '9']","(1.0, 0.0)"
"(37, 16)",['7'],"(0.99999999999872013, 2.5597302055757609e-12)"
"(37, 20)",['16'],"(1.0, 0.0)"
"(37, 22)","['19', '15.5']","(1.0, 0.0)"
"(37, 24)","['11', '10', '10.5']","(1.0, 0.0)"
"(37, 25)",['24'],"(1.0, 0.0)"
"(37, 29)",['18.5'],"(1.0, 0.0)"
"(37, 37)",['4.5'],"(0.99999660232687526, 6.7953462494774186e-06)"
"(37, 38)","['5', '5.5', '7.5', '5', '5', '4', '6', '8']","(0.99996832875816688, 0.0)"
"(37, 48)",['29'],"(1.0, 0.0)"
"(37, 50)",['16'],"(1.0, 0.0)"
"(37, 56)","['15', '11']","(1.0, 0.0)"
"(37, 61)",['24'],"(1.0, 0.0)"
"(37, 63)",['22.5'],"(1.0, 0.0)"
"(37, 66)",['24'],"(1.0, 0.0)"
"(37, 90)",['9'],"(1.0, 0.0)"
"(38, 0)","['17', '9', '8.5', '9.5']","(1.0, 0.0)"
"(38, 1)","['8', '9.5']","(0.99999999999999933, 0.0)"
"(38, 2)","['6', '7', '6.5', '12', '9', '8']","(0.9999999990134123, 0.0)"
"(38, 3)","['5.5', '9.5', '6.5']","(0.99999998101043752, 0.0)"
"(38, 4)",['10.5'],"(1.0, 0.0)"
"(38, 5)","['9', '7.5', '7', '11']","(0.99999999999872013, 0.0)"
"(38, 6)","['16.5', '13', '13', '12']","(1.0, 0.0)"
"(38, 8)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(38, 9)","['4.5', '6.5']","(0.99999660232687526, 2.308842006470968e-11)"
"(38, 10)","['16', '25.5', '22', '16.5', '20']","(1.0, 0.0)"
"(38, 12)","['22', '13', '13', '14.5']","(1.0, 0.0)"
"(38, 13)","['4', '6.5']","(0.99996832875816688, 2.0061350358702157e-09)"
"(38, 14)",['8.5'],"(1.0, 0.0)"
"(38, 22)",['17.5'],"(1.0, 0.0)"
"(38, 24)","['14', '25', '15']","(1.0, 0.0)"
"(38, 29)",['16.5'],"(1.0, 0.0)"
"(38, 33)",['9.5'],"(1.0, 0.0)"
"(38, 35)",['107.5'],"(1.0, 0.0)"
